# Created: Sat Aug 02 18:50:49 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/terasort-2dim.csv
#	output:	results/terasort-2dim/out.csv
#	metrics-output:	results/terasort-2dim/metrics.csv
#
# Points picked
# 	(10.0, 3.0)
# 	(30.0, 10.0)
# 	(20.0, 5.0)
# 	(10.0, 9.0)
# 	(50.0, 6.0)
# 	(50.0, 10.0)
# 	(30.0, 4.0)
# 	(50.0, 9.0)
# 	(30.0, 5.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
20.0	4.0	172.0700	181.3775	388.1150	254.6271	265.8077	159.7010	314.0447	173.2373	200.5921	357.3009	
30.0	4.0	234.2300	181.3775	388.1150	304.8685	265.8077	304.8934	314.0447	237.2229	231.0212	357.3009	
40.0	4.0	308.7800	259.2867	388.1150	357.8254	347.5409	351.3780	354.1128	331.9604	261.4503	357.3009	
50.0	4.0	374.3800	259.2867	388.1150	397.4736	347.5409	357.7860	354.1128	451.7205	291.8794	357.3009	
10.0	5.0	100.1100	181.3775	250.6200	205.8623	265.8077	123.5118	262.5345	121.7104	156.4421	326.6521	
20.0	5.0	150.1000	181.3775	250.6200	234.7498	265.8077	161.9094	281.8437	150.8644	186.8712	326.6521	
30.0	5.0	199.1300	181.3775	250.6200	280.8156	265.8077	307.7905	281.8437	200.9347	217.3003	326.6521	
40.0	5.0	256.9800	259.2867	250.6200	331.2525	347.5409	352.0054	321.9118	279.7909	247.7294	326.6521	
50.0	5.0	306.4200	259.2867	250.6200	370.8957	347.5409	358.0109	321.9118	388.4882	278.1585	326.6521	
10.0	6.0	90.7600	181.3775	250.6200	191.7990	265.8077	123.5478	242.3822	112.2669	142.7211	296.0032	
20.0	6.0	125.4400	181.3775	250.6200	215.3783	265.8077	162.9843	261.6914	133.9226	173.1502	296.0032	
30.0	6.0	174.1600	181.3775	250.6200	256.4365	265.8077	309.1167	261.6914	172.2385	203.5793	296.0032	
40.0	6.0	247.1600	259.2867	250.6200	303.4759	347.5409	352.2871	301.7595	235.6403	234.0084	296.0032	
50.0	6.0	296.7600	259.2867	250.6200	342.4586	347.5409	358.1116	301.7595	329.7650	264.4375	296.0032	
10.0	7.0	80.2900	181.3775	250.6200	179.8769	265.8077	123.5432	242.3822	105.3520	129.0002	265.3543	
20.0	7.0	122.0600	181.3775	250.6200	198.0350	265.8077	162.8487	261.6914	121.2810	159.4293	265.3543	
30.0	7.0	152.8100	181.3775	250.6200	233.6867	265.8077	308.9522	261.6914	150.1019	189.8584	265.3543	
40.0	7.0	193.4800	259.2867	250.6200	276.7575	347.5409	352.2524	301.7595	199.6664	220.2875	265.3543	
50.0	7.0	250.6200	259.2867	250.6200	314.5036	347.5409	358.0992	301.7595	277.8957	250.7166	265.3543	
10.0	8.0	84.5100	181.3775	236.4800	171.0519	265.8077	123.4986	242.3822	100.3192	115.2792	234.7055	
20.0	8.0	107.5200	181.3775	236.4800	184.0853	265.8077	161.5122	261.6914	111.9514	145.7083	234.7055	
30.0	8.0	142.7300	181.3775	236.4800	214.3346	265.8077	307.2871	261.6914	133.3502	176.1374	234.7055	
40.0	8.0	178.7000	259.2867	236.4800	253.1569	347.5409	351.8975	301.7595	171.2498	206.5665	234.7055	
50.0	8.0	236.4800	259.2867	236.4800	289.1742	347.5409	357.9723	301.7595	234.0704	236.9956	234.7055	
