site_id;latitude;longitude
RM700D3;41.8395;12.62075
RM173G1;41.827553;12.608223
RM173G2;41.827553;12.608223
RM173G3;41.827553;12.608223
RM216G1;41.861942;12.684972
RM216G2;41.861942;12.684972
RM216G3;41.861942;12.684972
RM217G1;41.855747;12.676028
RM217G2;41.855747;12.676028
RM217G3;41.855747;12.676028
RM219G1;41.867638;12.641861
RM219G2;41.867638;12.641861
RM219G3;41.867638;12.641861
RM281G1;41.918114;12.667084
RM281G2;41.918114;12.667084
RM281G3;41.918114;12.667084
RM748D2;41.917973;12.742361
RM748D3;41.917973;12.742361
RM763D1;41.869469;12.679361
RM763D2;41.869469;12.679361
RM748G1;41.917973;12.742361
RM748G2;41.917973;12.742361
RM748G3;41.917973;12.742361
RM749G1;41.823166;12.642833
RM749G2;41.823166;12.642833
RM749G3;41.823166;12.642833
RM761G1;41.862442;12.667723
RM761G2;41.862442;12.667723
RM761G3;41.862442;12.667723
RM762G1;41.86747;12.674389
RM762G2;41.86747;12.674389
RM762G3;41.86747;12.674389
RM763G1;41.869469;12.679361
RM763G2;41.869469;12.679361
RM763G3;41.869469;12.679361
RM768G1;41.815609;12.607362
RM768G2;41.815609;12.607362
RM768G3;41.815609;12.607362
RM769G1;41.816803;12.617611
RM769G2;41.816803;12.617611
RM769G3;41.816803;12.617611
RM840D1;41.815556;12.607362
RM877D1;41.913334;12.661111
RM780G1;41.86261;12.644278
RM780G2;41.86261;12.644278
RM780G3;41.86261;12.644278
RM784G1;41.912724;12.662
RM784G2;41.912724;12.662
RM784G3;41.912724;12.662
RM799G1;41.890472;12.677861
RM799G2;41.890472;12.677861
RM799G3;41.890472;12.677861
RM800G1;41.931473;12.645861
RM800G2;41.931473;12.645861
RM800G3;41.931473;12.645861
RM936G1;41.854359;12.649805
RM936G2;41.854359;12.649805
RM936G3;41.854359;12.649805
RM780D1;41.86261;12.644278
RM780D2;41.86261;12.644278
RM780D3;41.86261;12.644278
RM784D1;41.912724;12.662
RM784D2;41.912724;12.662
RM784D3;41.912724;12.662
RM799D1;41.890472;12.677861
RM799D2;41.890472;12.677861
RM635G1;41.865639;12.6565
RM635G2;41.865639;12.6565
RM635G3;41.865639;12.6565
RM700G1;41.8395;12.62075
RM700G2;41.8395;12.62075
RM700G3;41.8395;12.62075
RM990G1;41.784359;12.561528
RM990G2;41.784359;12.561528
RM990G3;41.784359;12.561528
RM994G1;41.842751;12.629639
RM994G2;41.842751;12.629639
RM994G3;41.842751;12.629639
RM431G1;41.880528;12.697083
RM431G2;41.880528;12.697083
RM431G3;41.880528;12.697083
RM432G1;41.904308;12.692555
RM432G2;41.904308;12.692555
RM432G3;41.904308;12.692555
RM504D4;41.832386;12.652888
RM504G4;41.832386;12.652888
RM281D4;41.918114;12.667084
RM281G4;41.918114;12.667084
RM317G1;41.926529;12.636611
RM317G2;41.926529;12.636611
RM317G3;41.926529;12.636611
RM334G1;41.810276;12.625694
RM334G2;41.810276;12.625694
RM334G3;41.810276;12.625694
RM347G1;41.811775;12.615056
RM347G2;41.811775;12.615056
RM347G3;41.811775;12.615056
RM866G1;41.874527;12.652194
RM866G2;41.874527;12.652194
RM866G3;41.874527;12.652194
RM898G1;41.916641;12.715583
RM898G2;41.916641;12.715583
RM898G3;41.916641;12.715583
RM504D1;41.832386;12.652888
RM504D2;41.832386;12.652888
RM509D1;41.718277;12.588056
RM509D2;41.718277;12.588056
RM509D3;41.718277;12.588056
RM504G1;41.832386;12.652888
RM504G2;41.832386;12.652888
RM504G3;41.832386;12.652888
RM509G1;41.718277;12.588056
RM509G2;41.718277;12.588056
RM509G3;41.718277;12.588056
RM294D1;42.092583;12.352056
RM294D2;42.092583;12.352056
RM294D3;42.092583;12.352056
RM319D2;42.077526;12.372416
RM714D1;42.071888;12.340528
RM714D2;42.071888;12.340528
RM714D3;42.071888;12.340528
RM296G1;42.029583;12.296473
RM296G2;42.029583;12.296473
RM714G1;42.071888;12.340528
RM714G2;42.071888;12.340528
RM714G3;42.071888;12.340528
RM319G1;42.077526;12.372416
RM319G3;42.077526;12.372416
RM294V1;42.092583;12.352056
RM294V2;42.092583;12.352056
RM294V3;42.092583;12.352056
RM296V1;42.029583;12.296473
RM296V2;42.029583;12.296473
RM319V1;42.077526;12.372416
RM319V2;42.077526;12.372416
RM319V3;42.077526;12.372416
RM294U1;42.092583;12.352056
RM294U2;42.092583;12.352056
RM294U3;42.092583;12.352056
RM296U1;42.029583;12.296473
RM296U2;42.029583;12.296473
RM319U1;42.077526;12.372416
RM319U2;42.077526;12.372416
RM319U3;42.077526;12.372416
RM714U1;42.071888;12.340528
RM714U2;42.071888;12.340528
RM714U3;42.071888;12.340528
RM714V1;42.071888;12.340528
RM714V2;42.071888;12.340528
RM714V3;42.071888;12.340528
RM035U1;41.883053;12.488028
RM035U2;41.883053;12.488028
RM035U3;41.883053;12.488028
RM036U1;41.881222;12.485806
RM036U2;41.881222;12.485806
RM037U1;41.878414;12.477611
RM037U2;41.878414;12.477611
RM037U3;41.878414;12.477611
RM038U1;41.874111;12.480166
RM038U2;41.874111;12.480166
RM038U3;41.874111;12.480166
RM039U1;41.87508;12.468888
RM039U2;41.87508;12.468888
RM039U3;41.87508;12.468888
RM040U1;41.88311;12.469417
RM040U2;41.88311;12.469417
RM040U3;41.88311;12.469417
RM041U1;41.882164;12.461027
RM041U2;41.882164;12.461027
RM042U1;41.871387;12.449028
RM042U2;41.871387;12.449028
RM042U3;41.871387;12.449028
RM043U1;41.878136;12.456416
RM043U2;41.878136;12.456416
RM043U3;41.878136;12.456416
RM044U1;41.863136;12.46925
RM044U2;41.863136;12.46925
RM044U3;41.863136;12.46925
RM047U1;41.821026;12.452194
RM047U2;41.821026;12.452194
RM047U3;41.821026;12.452194
RM049U1;41.847969;12.458388
RM049U2;41.847969;12.458388
RM049U3;41.847969;12.458388
RM052U1;41.851582;12.479361
RM052U2;41.851582;12.479361
RM052U3;41.851582;12.479361
RM053U1;41.847195;12.48575
RM053U2;41.847195;12.48575
RM053U3;41.847195;12.48575
RM054U1;41.852665;12.48725
RM054U2;41.852665;12.48725
RM054U3;41.852665;12.48725
RM055U1;41.850445;12.494555
RM055U2;41.850445;12.494555
RM055U3;41.850445;12.494555
RM056U1;41.830498;12.494722
RM056U2;41.830498;12.494722
RM056U3;41.830498;12.494722
RM057U1;41.830582;12.468082
RM057U2;41.830582;12.468082
RM057U3;41.830582;12.468082
RM058U1;41.843166;12.471389
RM058U2;41.843166;12.471389
RM058U3;41.843166;12.471389
RM035V1;41.883053;12.488028
RM035V2;41.883053;12.488028
RM035V3;41.883053;12.488028
RM036V1;41.881222;12.485806
RM036V2;41.881222;12.485806
RM037V1;41.878414;12.477611
RM037V2;41.878414;12.477611
RM037V3;41.878414;12.477611
RM038V1;41.874111;12.480166
RM038V2;41.874111;12.480166
RM038V3;41.874111;12.480166
RM039V1;41.87508;12.468888
RM039V2;41.87508;12.468888
RM039V3;41.87508;12.468888
RM040V1;41.88311;12.469417
RM040V2;41.88311;12.469417
RM040V3;41.88311;12.469417
RM041V1;41.882164;12.461027
RM041V2;41.882164;12.461027
RM042V1;41.871387;12.449028
RM042V2;41.871387;12.449028
RM042V3;41.871387;12.449028
RM043V1;41.878136;12.456416
RM043V2;41.878136;12.456416
RM043V3;41.878136;12.456416
RM044V1;41.863136;12.46925
RM044V2;41.863136;12.46925
RM044V3;41.863136;12.46925
RM047V1;41.821026;12.452194
RM047V2;41.821026;12.452194
RM047V3;41.821026;12.452194
RM049V1;41.847969;12.458388
RM049V2;41.847969;12.458388
RM049V3;41.847969;12.458388
RM052V1;41.851582;12.479361
RM052V2;41.851582;12.479361
RM052V3;41.851582;12.479361
RM053V1;41.847195;12.48575
RM053V2;41.847195;12.48575
RM053V3;41.847195;12.48575
RM054V1;41.852665;12.48725
RM054V2;41.852665;12.48725
RM054V3;41.852665;12.48725
RM055V1;41.850445;12.494555
RM055V2;41.850445;12.494555
RM055V3;41.850445;12.494555
RM056V1;41.830498;12.494722
RM056V2;41.830498;12.494722
RM056V3;41.830498;12.494722
RM057V1;41.830582;12.468082
RM057V2;41.830582;12.468082
RM057V3;41.830582;12.468082
RM058V1;41.843166;12.471389
RM058V2;41.843166;12.471389
RM058V3;41.843166;12.471389
RM060V1;41.821362;12.480194
RM060V2;41.821362;12.480194
RM060V3;41.821362;12.480194
RM061V1;41.824333;12.462972
RM061V2;41.824333;12.462972
RM061V3;41.824333;12.462972
RM062V1;41.817581;12.479805
RM062V2;41.817581;12.479805
RM062V3;41.817581;12.479805
RM073V1;41.872219;12.444528
RM073V2;41.872219;12.444528
RM073V3;41.872219;12.444528
RM150V1;41.862305;12.499111
RM150V2;41.862305;12.499111
RM150V3;41.862305;12.499111
RM156V1;41.855331;12.472305
RM156V2;41.855331;12.472305
RM156V3;41.855331;12.472305
RM175V1;41.859749;12.490167
RM175V2;41.859749;12.490167
RM175V3;41.859749;12.490167
RM176V1;41.828693;12.454778
RM176V2;41.828693;12.454778
RM176V3;41.828693;12.454778
RM177V1;41.832195;12.513166
RM177V2;41.832195;12.513166
RM177V3;41.832195;12.513166
RM178V1;41.822556;12.518027
RM178V2;41.822556;12.518027
RM178V3;41.822556;12.518027
RM179V1;41.822914;12.493611
RM179V2;41.822914;12.493611
RM179V3;41.822914;12.493611
RM318V1;41.834164;12.47461
RM318V2;41.834164;12.47461
RM318V3;41.834164;12.47461
RM321V1;41.851444;12.498944
RM321V2;41.851444;12.498944
RM321V3;41.851444;12.498944
RM328V1;41.87672;12.444639
RM328V2;41.87672;12.444639
RM328V3;41.87672;12.444639
RM358V1;41.869637;12.461555
RM358V2;41.869637;12.461555
RM358V3;41.869637;12.461555
RM366V1;41.877083;12.463111
RM366V2;41.877083;12.463111
RM060U1;41.821362;12.480194
RM060U2;41.821362;12.480194
RM060U3;41.821362;12.480194
RM061U1;41.824333;12.462972
RM061U2;41.824333;12.462972
RM061U3;41.824333;12.462972
RM062U1;41.817581;12.479805
RM062U2;41.817581;12.479805
RM062U3;41.817581;12.479805
RM073U1;41.872219;12.444528
RM073U2;41.872219;12.444528
RM073U3;41.872219;12.444528
RM150U1;41.862305;12.499111
RM150U2;41.862305;12.499111
RM150U3;41.862305;12.499111
RM156U1;41.855331;12.472305
RM156U2;41.855331;12.472305
RM156U3;41.855331;12.472305
RM175U1;41.859749;12.490167
RM175U2;41.859749;12.490167
RM175U3;41.859749;12.490167
RM176U1;41.828693;12.454778
RM176U2;41.828693;12.454778
RM176U3;41.828693;12.454778
RM177U1;41.832195;12.513166
RM177U2;41.832195;12.513166
RM177U3;41.832195;12.513166
RM178U1;41.822556;12.518027
RM178U2;41.822556;12.518027
RM178U3;41.822556;12.518027
RM179U1;41.822914;12.493611
RM179U2;41.822914;12.493611
RM179U3;41.822914;12.493611
RM192U1;41.867611;12.490611
RM192U2;41.867611;12.490611
RM192U3;41.867611;12.490611
RM318U1;41.834164;12.47461
RM318U2;41.834164;12.47461
RM318U3;41.834164;12.47461
RM321U1;41.851444;12.498944
RM321U2;41.851444;12.498944
RM321U3;41.851444;12.498944
RM328U1;41.87672;12.444639
RM328U2;41.87672;12.444639
RM328U3;41.87672;12.444639
RM358U1;41.869637;12.461555
RM358U2;41.869637;12.461555
RM358U3;41.869637;12.461555
RM366U1;41.877083;12.463111
RM366U2;41.877083;12.463111
RM562U1;41.827553;12.478666
RM577U1;41.836971;12.503445
RM590U1;41.87122;12.468082
RM590U2;41.87122;12.468082
RM590U3;41.87122;12.468082
RM192V1;41.867611;12.490611
RM192V2;41.867611;12.490611
RM192V3;41.867611;12.490611
RM600U1;41.844166;12.488389
RM601U1;41.865997;12.465278
RM601U2;41.865997;12.465278
RM601U3;41.865997;12.465278
RM611U1;41.865749;12.484722
RM611U2;41.865749;12.484722
RM611U3;41.865749;12.484722
RM643U1;41.858414;12.477722
RM643U2;41.858414;12.477722
RM643U3;41.858414;12.477722
RM644U1;41.830444;12.481444
RM644U2;41.830444;12.481444
RM644U3;41.830444;12.481444
RM645U1;41.842472;12.493306
RM645U2;41.842472;12.493306
RM645U3;41.842472;12.493306
RM646U1;41.831917;12.462083
RM646U2;41.831917;12.462083
RM646U3;41.831917;12.462083
RM647U1;41.835083;12.500417
RM647U2;41.835083;12.500417
RM647U3;41.835083;12.500417
RM648U1;41.841164;12.512028
RM648U2;41.841164;12.512028
RM648U3;41.841164;12.512028
RM716U1;41.832916;12.46761
RM716U2;41.832916;12.46761
RM716U3;41.832916;12.46761
RM720U1;41.875221;12.489695
