# Created: Mon Aug 04 14:42:14 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	new-results/terasort/out-0.075.csv
#	metrics-output:	new-results/terasort/metrics-0.075.csv
#
# Points picked
# 	(1.0, 30.0, 2.0)
# 	(4.0, 20.0, 3.0)
# 	(1.0, 20.0, 4.0)
# 	(2.0, 10.0, 5.0)
# 	(1.0, 10.0, 6.0)
# 	(2.0, 50.0, 6.0)
# 	(4.0, 40.0, 7.0)
# 	(2.0, 40.0, 8.0)
# 	(4.0, 30.0, 9.0)
# 	(1.0, 30.0, 10.0)
x2	x3	x1	objective	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	Discretization	GaussianCurves	RBF	BagClassify	IsoRegression	
1.0	50.0	7.0	250.6200	162.2906	157.7585	176.7576	124.3408	209.1100	181.6628	176.4109	153.9851	107.2375	
2.0	10.0	7.0	64.4800	143.0553	62.9794	53.0795	124.3408	82.7660	103.8307	175.0398	130.9015	107.2375	
2.0	20.0	7.0	88.3300	151.0919	80.8669	78.8684	124.3408	209.1100	119.7026	167.6520	142.0550	107.2375	
2.0	30.0	7.0	112.3300	151.0919	100.4246	104.6573	124.3408	209.1100	137.6008	160.6933	142.0550	107.2375	
2.0	40.0	7.0	129.3400	151.0919	119.4764	130.4463	124.3408	209.1100	151.5098	164.8069	142.0550	107.2375	
2.0	50.0	7.0	151.7200	151.0919	137.2463	156.2352	124.3408	209.1100	158.2532	173.4486	142.0550	107.2375	
4.0	10.0	7.0	52.9000	116.3018	33.8943	12.0346	124.3408	82.7660	85.2133	82.3760	119.5573	107.2375	
4.0	20.0	7.0	63.4200	124.3385	41.6341	37.8235	124.3408	82.7660	86.4277	82.3731	130.7108	107.2375	
4.0	30.0	7.0	76.1400	124.3385	53.2758	63.6124	124.3408	82.7660	93.3743	82.3728	130.7108	107.2375	
4.0	40.0	7.0	92.0200	124.3385	69.1621	89.4013	124.3408	82.7660	103.7046	82.3729	130.7108	107.2375	
4.0	50.0	7.0	126.5500	124.3385	88.3377	115.1902	124.3408	82.7660	114.7628	82.3744	130.7108	107.2375	
1.0	10.0	8.0	84.5100	154.2539	92.6796	61.5173	102.7437	82.7660	118.6662	176.6704	142.8316	107.2375	
1.0	20.0	8.0	107.5200	162.2906	109.8654	87.3063	102.7437	209.1100	135.7487	175.0850	153.9851	107.2375	
1.0	30.0	8.0	142.7300	162.2906	124.2589	113.0952	102.7437	209.1100	153.2541	173.3798	153.9851	107.2375	
1.0	40.0	8.0	178.7000	162.2906	135.7012	138.8841	102.7437	209.1100	165.3065	174.4151	153.9851	107.2375	
1.0	50.0	8.0	236.4800	162.2906	145.4324	164.6730	102.7437	209.1100	169.2511	176.3463	153.9851	107.2375	
2.0	10.0	8.0	56.4400	143.0553	68.7915	40.9949	102.7437	82.7660	98.0576	174.8444	130.9015	107.2375	
2.0	20.0	8.0	73.5000	151.0919	86.6919	66.7838	102.7437	209.1100	110.8031	166.8244	142.0550	107.2375	
2.0	30.0	8.0	92.7600	151.0919	104.5761	92.5727	102.7437	209.1100	126.4669	159.3810	142.0550	107.2375	
2.0	40.0	8.0	114.5700	151.0919	120.1938	118.3616	102.7437	209.1100	139.7887	163.7683	142.0550	107.2375	
2.0	50.0	8.0	136.9900	151.0919	132.8545	144.1506	102.7437	209.1100	147.6864	173.1066	142.0550	107.2375	
4.0	10.0	8.0	51.7300	116.3018	36.3016	-0.0501	102.7437	82.7660	85.1097	82.3757	119.5573	107.2375	
4.0	20.0	8.0	60.3200	124.3385	45.2686	25.7389	102.7437	82.7660	85.0242	82.3730	130.7108	107.2375	
4.0	30.0	8.0	90.0200	124.3385	58.1776	51.5278	102.7437	82.7660	90.7704	82.3727	130.7108	107.2375	
4.0	40.0	8.0	96.5300	124.3385	74.7192	77.3167	102.7437	82.7660	100.4055	82.3729	130.7108	107.2375	
4.0	50.0	8.0	105.4300	124.3385	93.0963	103.1056	102.7437	82.7660	111.4474	82.3742	130.7108	107.2375	
1.0	10.0	9.0	84.2700	154.2539	99.2519	49.4327	81.1465	82.7660	113.7650	176.6264	142.8316	107.2375	
1.0	20.0	9.0	121.5000	162.2906	114.7526	75.2216	81.1465	209.1100	127.5012	174.8711	153.9851	107.2375	
1.0	30.0	9.0	150.8700	162.2906	126.7130	101.0106	81.1465	209.1100	142.5163	172.9903	153.9851	107.2375	
1.0	40.0	9.0	158.6200	162.2906	135.3035	126.7995	81.1465	209.1100	153.7744	174.1313	153.9851	107.2375	
1.0	50.0	9.0	218.6400	162.2906	141.5988	152.5884	81.1465	209.1100	158.7552	176.2671	153.9851	107.2375	
2.0	10.0	9.0	58.9600	143.0553	75.6209	28.9103	81.1465	82.7660	95.4996	174.6052	130.9015	107.2375	
2.0	20.0	9.0	74.2100	151.0919	93.4821	54.6992	81.1465	209.1100	105.2883	165.8288	142.0550	107.2375	
2.0	30.0	9.0	94.0700	151.0919	109.9871	80.4881	81.1465	209.1100	118.5593	157.8271	142.0550	107.2375	
2.0	40.0	9.0	115.4700	151.0919	123.2555	106.2770	81.1465	209.1100	130.8586	162.5269	142.0550	107.2375	
2.0	50.0	9.0	130.9600	151.0919	133.0055	132.0659	81.1465	209.1100	139.3131	172.6897	142.0550	107.2375	
4.0	10.0	9.0	47.7800	116.3018	39.4551	-12.1347	81.1465	82.7660	87.2009	82.3754	119.5573	107.2375	
4.0	20.0	9.0	54.1300	124.3385	49.9129	13.6543	81.1465	82.7660	86.0324	82.3730	130.7108	107.2375	
4.0	30.0	9.0	72.4400	124.3385	64.2674	39.4432	81.1465	82.7660	90.5659	82.3727	130.7108	107.2375	
4.0	40.0	9.0	76.0600	124.3385	81.5289	65.2321	81.1465	82.7660	99.2677	82.3728	130.7108	107.2375	
4.0	50.0	9.0	92.1400	124.3385	99.3039	91.0210	81.1465	82.7660	109.8930	82.3740	130.7108	107.2375	
1.0	10.0	10.0	87.0600	154.2539	105.7984	37.3481	59.5493	82.7660	111.8217	176.5724	142.8316	107.2375	
1.0	20.0	10.0	119.9100	162.2906	119.6445	63.1370	59.5493	209.1100	122.4957	174.6094	153.9851	107.2375	
1.0	30.0	10.0	149.9200	162.2906	129.6837	88.9259	59.5493	209.1100	134.9866	172.5160	153.9851	107.2375	
1.0	40.0	10.0	193.0000	162.2906	136.4298	114.7149	59.5493	209.1100	145.1077	173.7848	153.9851	107.2375	
1.0	50.0	10.0	291.0800	162.2906	140.9102	140.5038	59.5493	209.1100	150.5670	176.1698	153.9851	107.2375	
2.0	10.0	10.0	57.0400	143.0553	82.9100	16.8256	59.5493	82.7660	95.9722	174.3129	130.9015	107.2375	
2.0	20.0	10.0	81.5700	151.0919	100.3845	42.6146	59.5493	209.1100	103.1296	164.6364	142.0550	107.2375	
2.0	30.0	10.0	95.5100	151.0919	115.4371	68.4035	59.5493	209.1100	114.0089	156.0002	142.0550	107.2375	
2.0	40.0	10.0	146.6100	151.0919	126.7735	94.1924	59.5493	209.1100	124.9605	161.0515	142.0550	107.2375	
2.0	50.0	10.0	215.5800	151.0919	134.5678	119.9813	59.5493	209.1100	133.4088	172.1824	142.0550	107.2375	
4.0	10.0	10.0	52.0700	116.3018	43.3039	-24.2193	59.5493	82.7660	91.1899	82.3750	119.5573	107.2375	
4.0	20.0	10.0	59.8200	124.3385	55.3714	1.5696	59.5493	82.7660	89.2104	82.3729	130.7108	107.2375	
4.0	30.0	10.0	80.2200	124.3385	71.0839	27.3586	59.5493	82.7660	92.6002	82.3726	130.7108	107.2375	
4.0	40.0	10.0	86.3700	124.3385	88.7742	53.1475	59.5493	82.7660	100.2110	82.3728	130.7108	107.2375	
4.0	50.0	10.0	93.5400	124.3385	105.7237	78.9364	59.5493	82.7660	110.0780	82.3738	130.7108	107.2375	


# Created: Mon Aug 04 14:42:15 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.GreedyDimensionSampler
# Runtime options:
#	input:	input/terasort.csv
#	sampling-rate:	0.075
#	output:	new-results/terasort/out-0.075.csv
#	metrics-output:	new-results/terasort/metrics-0.075.csv
#
# Points picked
# 	(1.0, 10.0, 2.0)
# 	(1.0, 50.0, 2.0)
# 	(4.0, 10.0, 2.0)
# 	(4.0, 50.0, 2.0)
# 	(1.0, 10.0, 10.0)
# 	(1.0, 50.0, 10.0)
# 	(4.0, 10.0, 10.0)
# 	(4.0, 50.0, 10.0)
# 	(2.0, 50.0, 7.0)
# 	(4.0, 30.0, 10.0)
x2	x3	x1	objective	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	Discretization	GaussianCurves	RBF	BagClassify	IsoRegression	
1.0	10.0	2.0	197.7700	216.3522	194.1850	120.2491	88.2102	203.2570	215.8939	312.8648	146.9284	97.8700	
1.0	20.0	2.0	378.2800	216.3522	309.7194	134.4270	140.5042	203.2570	265.1763	312.8648	146.9284	97.8700	
1.0	30.0	2.0	439.7700	233.1812	438.5140	148.6049	192.7982	203.2570	323.1729	312.8648	286.0894	97.8700	
1.0	40.0	2.0	646.0500	233.1812	548.4137	162.7827	245.0922	203.2570	373.8813	312.8648	286.0894	308.6440	
1.0	50.0	2.0	644.2200	233.1812	628.6379	176.9606	297.3862	203.2570	401.7950	312.8648	286.0894	308.6440	
2.0	10.0	2.0	122.2600	216.3522	120.4111	105.1759	88.2102	203.2570	188.6258	312.8648	146.9284	97.8700	
2.0	20.0	2.0	193.7800	216.3522	203.3724	119.3538	140.5042	203.2570	235.3019	312.8648	146.9284	97.8700	
2.0	30.0	2.0	256.8900	233.1812	320.6829	133.5316	192.7982	203.2570	292.7162	312.8648	286.0894	97.8700	
2.0	40.0	2.0	323.5800	233.1812	446.3775	147.7095	245.0922	203.2570	344.8577	312.8648	286.0894	308.6440	
2.0	50.0	2.0	407.8700	233.1812	549.5778	161.8874	297.3862	203.2570	375.9819	312.8648	286.0894	308.6440	
4.0	10.0	2.0	72.2300	216.3522	51.3936	75.0295	88.2102	203.2570	142.2856	312.8648	141.6697	97.8700	
