# Created: Sat Aug 02 14:50:10 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	input:	input/pagerank.csv
#	sampling-rate:	0.125
#	output:	results/pagerank/values-0.125.csv
#	metrics-output:	results/pagerank/metrics-0.125.csv
#
# Points picked
# 	(2.0, 60.0, 2.0)
# 	(1.0, 90.0, 2.0)
# 	(4.0, 50.0, 3.0)
# 	(2.0, 80.0, 3.0)
# 	(1.0, 50.0, 4.0)
# 	(4.0, 70.0, 4.0)
# 	(2.0, 100.0, 4.0)
# 	(1.0, 70.0, 5.0)
# 	(4.0, 90.0, 5.0)
# 	(2.0, 60.0, 6.0)
# 	(1.0, 90.0, 6.0)
# 	(4.0, 50.0, 7.0)
# 	(2.0, 80.0, 7.0)
# 	(1.0, 50.0, 8.0)
# 	(4.0, 70.0, 8.0)
# 	(2.0, 100.0, 8.0)
# 	(1.0, 70.0, 9.0)
# 	(4.0, 90.0, 9.0)
# 	(2.0, 60.0, 10.0)
# 	(1.0, 90.0, 10.0)
x2	x3	x1	objective	RBF	LinearRegression	MLPerceptron	LeastSquares	Discretization	RandomSubSpaces	IsoRegression	GaussianCurves	BagClassify	
4.0	80.0	4.0	83.1300	78.5663	75.1764	87.6997	81.0922	80.7529	89.3497	80.2600	88.0068	93.1674	
4.0	90.0	4.0	87.0900	78.5666	75.1764	88.7968	82.4224	80.7529	89.3497	80.2600	92.8119	93.1674	
4.0	100.0	4.0	95.7400	78.5669	75.1764	89.9520	83.7526	80.7529	89.3497	80.2600	97.9128	93.1674	
1.0	50.0	5.0	110.7600	131.6557	143.6923	123.8539	129.6562	153.0432	141.7744	152.4071	122.4332	127.8660	
1.0	60.0	5.0	128.2500	131.8701	143.6923	134.6443	130.9864	153.0432	141.7744	152.4071	131.4167	131.4300	
1.0	70.0	5.0	137.9100	132.0809	143.6923	149.5403	132.3166	153.0432	141.7744	152.4071	141.2206	131.4300	
1.0	80.0	5.0	155.0100	132.2809	143.6923	169.4337	133.6468	153.0432	148.1355	152.4071	149.8381	138.7960	
1.0	90.0	5.0	171.6000	132.4643	143.6923	194.7258	134.9770	153.0432	151.5494	152.4071	155.3391	138.7960	
1.0	100.0	5.0	201.4800	132.6274	143.6923	224.8491	136.3071	153.0432	151.5494	152.4071	156.5701	138.7960	
2.0	50.0	5.0	100.0400	126.1249	120.8537	100.0978	111.9885	118.4200	109.9233	107.7814	104.6879	115.3388	
