# Created: Sat Aug 02 18:50:46 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.RandomSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out.csv
#	metrics-output:	results/sssp-2dim/metrics.csv
#
# Points picked
# 	(400.0, 4.0)
# 	(400.0, 8.0)
# 	(400.0, 2.0)
# 	(500.0, 7.0)
# 	(50.0, 9.0)
# 	(50.0, 3.0)
# 	(200.0, 4.0)
# 	(50.0, 2.0)
# 	(100.0, 4.0)
# 	(200.0, 3.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	3.0	71.6800	86.0700	86.0700	150.6305	192.9552	259.7618	232.3228	113.6769	64.5468	82.4950	
100.0	3.0	102.3400	214.5567	86.0700	160.3897	192.9552	259.7619	232.3228	125.6231	92.8869	109.9798	
200.0	3.0	158.0300	214.5567	214.5567	192.2423	192.9552	259.7619	232.3228	165.8505	149.5670	164.9495	
300.0	3.0	203.2100	214.5567	214.5567	235.0200	248.0613	259.7619	232.3228	232.6675	206.2472	219.9192	
400.0	3.0	293.9300	384.4650	331.6460	278.8048	302.0057	259.7619	266.0196	315.6045	262.9273	274.8888	
500.0	3.0	335.7500	384.4650	331.6460	313.3488	302.0057	259.7619	266.0196	388.1157	319.6075	329.8585	
50.0	4.0	72.9200	86.0700	86.0700	147.4013	192.9552	259.7492	232.3228	112.1384	58.5165	82.4950	
100.0	4.0	101.4100	214.5567	86.0700	157.0221	192.9552	259.7509	232.3228	123.3956	86.8566	109.9798	
200.0	4.0	155.9400	214.5567	214.5567	188.6604	192.9552	259.7531	232.3228	161.6509	143.5367	164.9495	
300.0	4.0	198.1400	214.5567	214.5567	231.2915	248.0613	259.7543	232.3228	226.4047	200.2169	219.9192	
400.0	4.0	276.9600	296.4333	331.6460	275.0142	302.0057	259.7548	266.0196	308.9587	256.8970	274.8888	
500.0	4.0	315.4200	296.4333	331.6460	309.6363	302.0057	259.7547	266.0196	383.1920	313.5772	329.8585	
50.0	5.0	79.9700	86.0700	86.0700	146.1695	192.9552	257.8511	232.3228	110.6922	52.4862	82.4950	
100.0	5.0	104.8500	214.5567	86.0700	155.4616	192.9552	258.0885	232.3228	121.2930	80.8263	109.9798	
200.0	5.0	158.7500	214.5567	214.5567	186.2245	192.9552	258.4087	232.3228	157.6317	137.5064	164.9495	
300.0	5.0	191.3600	214.5567	214.5567	227.7787	248.0613	258.5848	232.3228	220.2698	194.1866	219.9192	
400.0	5.0	248.5100	296.4333	331.6460	270.4518	302.0057	258.6588	266.0196	302.2523	250.8667	274.8888	
500.0	5.0	309.6400	296.4333	331.6460	304.3454	302.0057	258.6475	266.0196	378.0890	307.5469	329.8585	
50.0	6.0	74.6700	86.0700	86.0700	146.9184	192.9552	230.0198	232.3228	109.3332	46.4559	82.4950	
100.0	6.0	104.7000	214.5567	86.0700	155.7274	192.9552	230.1862	232.3228	119.3098	74.7960	109.9798	
200.0	6.0	154.3600	214.5567	214.5567	185.0544	192.9552	230.4981	232.3228	153.7910	131.4761	164.9495	
300.0	6.0	188.2500	214.5567	214.5567	224.7264	248.0613	230.7373	232.3228	214.2735	188.1563	219.9192	
400.0	6.0	265.3300	296.4333	331.6460	265.4841	302.0057	230.8591	266.0196	295.5012	244.8364	274.8888	
500.0	6.0	307.3000	296.4333	331.6460	297.9296	302.0057	230.8395	266.0196	372.8099	301.5166	329.8585	
50.0	7.0	76.1100	86.0700	86.0700	149.5333	192.9552	228.8714	232.3228	108.0570	40.4256	82.4950	
100.0	7.0	102.0100	214.5567	86.0700	157.7447	192.9552	228.8716	232.3228	117.4405	68.7657	109.9798	
200.0	7.0	155.0600	214.5567	214.5567	185.1972	192.9552	228.8720	232.3228	150.1257	125.4459	164.9495	
300.0	7.0	183.8200	214.5567	214.5567	222.3439	239.5980	228.8723	232.3228	208.4253	182.1260	219.9192	
400.0	7.0	280.6700	296.4333	331.6460	260.4871	293.5424	228.8724	266.0196	288.7216	238.8061	274.8888	
500.0	7.0	296.9800	296.4333	331.6460	290.8932	293.5424	228.8724	266.0196	367.3588	295.4863	329.8585	
50.0	8.0	79.1400	86.0700	86.0700	153.8245	192.9552	228.8702	232.3228	106.8589	34.3953	82.4950	
100.0	8.0	106.0200	214.5567	86.0700	161.3625	192.9552	228.8702	232.3228	115.6799	62.7354	109.9798	
200.0	8.0	152.3900	214.5567	214.5567	186.6285	192.9552	228.8702	232.3228	146.6326	119.4156	164.9495	
300.0	8.0	188.4200	214.5567	214.5567	220.7833	239.5980	228.8702	232.3228	202.7335	176.0957	219.9192	
400.0	8.0	256.3300	296.4333	331.6460	255.8006	293.5424	228.8702	266.0196	281.9298	232.7759	274.8888	
500.0	8.0	306.6100	296.4333	331.6460	283.7264	293.5424	228.8702	266.0196	361.7413	289.4560	329.8585	
50.0	9.0	76.6900	86.0700	86.0700	159.5495	192.9552	228.8702	226.4322	105.7348	28.3651	82.4950	
100.0	9.0	140.8000	214.5567	86.0700	166.3716	192.9552	228.8702	226.4322	114.0226	56.7051	109.9798	
200.0	9.0	191.6800	214.5567	214.5567	189.2570	192.9552	228.8702	226.4322	143.3077	113.3853	164.9495	
300.0	9.0	233.6400	214.5567	214.5567	220.1249	239.5980	228.8702	226.4322	197.2053	170.0654	219.9192	
400.0	9.0	252.8800	296.4333	331.6460	251.6922	293.5424	228.8702	260.1290	275.1426	226.7456	274.8888	
500.0	9.0	309.4700	296.4333	331.6460	276.8517	293.5424	228.8702	260.1290	355.9640	283.4257	329.8585	
50.0	10.0	99.2900	86.0700	86.0700	166.4310	192.9552	228.8702	226.4322	104.6804	22.3348	82.4950	
100.0	10.0	119.4600	214.5567	86.0700	172.5212	192.9552	228.8702	226.4322	112.4636	50.6748	109.9798	
200.0	10.0	187.0900	214.5567	214.5567	192.9337	192.9552	228.8702	226.4322	140.1466	107.3550	164.9495	
300.0	10.0	242.3200	214.5567	214.5567	220.3727	239.5980	228.8702	226.4322	191.8466	164.0351	219.9192	
400.0	10.0	273.7800	296.4333	331.6460	248.3361	293.5424	228.8702	260.1290	268.3763	220.7153	274.8888	
500.0	10.0	276.9000	296.4333	331.6460	270.5884	293.5424	228.8702	260.1290	350.0346	277.3954	329.8585	


# Created: Sat Aug 02 18:50:47 EEST 2014
# Active sampler: class gr.ntua.ece.cslab.panic.core.samplers.UniformSampler
# Runtime options:
#	sampling-rate:	0.2
#	input:	input/sssp-2dim.csv
#	output:	results/sssp-2dim/out.csv
#	metrics-output:	results/sssp-2dim/metrics.csv
#
# Points picked
# 	(200.0, 2.0)
# 	(100.0, 3.0)
# 	(50.0, 4.0)
# 	(500.0, 4.0)
# 	(400.0, 5.0)
# 	(300.0, 6.0)
# 	(200.0, 7.0)
# 	(100.0, 8.0)
# 	(50.0, 9.0)
# 	(500.0, 9.0)
x2	x1	objective	Discretization	IsoRegression	GaussianCurves	BagClassify	RBF	RandomSubSpaces	MLPerceptron	LeastSquares	LinearRegression	
50.0	2.0	72.8500	74.8050	74.8050	126.6697	128.4755	112.4220	120.9332	105.2332	73.5519	77.1657	
100.0	2.0	104.1800	104.1800	104.1800	135.5902	128.4755	112.2695	120.9332	123.3010	100.2962	102.7784	
200.0	2.0	170.2600	171.1900	162.6600	160.5882	172.0879	114.7447	179.7734	167.6195	153.7848	154.0038	
300.0	2.0	231.1400	171.1900	188.2500	190.4600	187.1361	163.1067	194.9265	219.8562	207.2733	205.2292	
400.0	2.0	330.8200	291.1333	248.5100	218.0510	231.0226	199.2211	235.5780	273.3269	260.7619	256.4547	
500.0	2.0	433.1800	291.1333	312.4450	236.9703	231.0226	199.4073	235.5780	320.7141	314.2505	307.6801	
50.0	3.0	71.6800	74.8050	74.8050	120.7624	128.4755	113.2386	120.9332	103.8578	74.1049	77.1657	
100.0	3.0	102.3400	104.1800	104.1800	130.7420	128.4755	112.9698	120.9332	121.6886	100.8492	102.7784	
200.0	3.0	158.0300	171.1900	162.6600	158.7547	172.0879	117.2442	179.7734	165.5817	154.3377	154.0038	
300.0	3.0	203.2100	171.1900	188.2500	192.2838	187.1361	174.6545	194.9265	217.6036	207.8263	205.2292	
400.0	3.0	293.9300	291.1333	248.5100	223.3027	231.0226	199.3034	235.5780	271.1787	261.3149	256.4547	
500.0	3.0	335.7500	291.1333	312.4450	244.6194	231.0226	199.4073	235.5780	318.9347	314.8034	307.6801	
50.0	4.0	72.9200	74.8050	74.8050	116.0103	128.4755	121.3806	120.9332	102.5020	74.6579	77.1657	
100.0	4.0	101.4100	104.1800	104.1800	126.8209	128.4755	120.0581	120.9332	120.0958	101.4022	102.7784	
200.0	4.0	155.9400	171.1900	162.6600	157.2177	172.0879	137.5445	179.7734	163.5585	154.8907	154.0038	
300.0	4.0	198.1400	171.1900	188.2500	193.6598	187.1361	193.9501	194.9265	215.3539	208.3793	205.2292	
400.0	4.0	276.9600	291.1333	248.5100	227.4281	231.0226	199.3898	235.5780	269.0199	261.8679	256.4547	
500.0	4.0	315.4200	291.1333	312.4450	250.6865	231.0226	199.4073	235.5780	317.1367	315.3564	307.6801	
50.0	5.0	79.9700	74.8050	74.8050	112.7949	128.4755	174.2914	120.9332	101.1656	75.2109	77.1657	
100.0	5.0	104.8500	104.1800	104.1800	124.1423	128.4755	171.3523	120.9332	118.5227	101.9551	102.7784	
200.0	5.0	158.7500	171.1900	162.6600	156.1016	172.0879	189.9025	179.7734	161.5504	155.4437	154.0038	
300.0	5.0	191.3600	171.1900	188.2500	194.4785	187.1361	199.1104	194.9265	213.1076	208.9323	205.2292	
400.0	5.0	248.5100	291.1333	248.5100	230.0967	231.0226	199.4064	235.5780	266.8510	262.4208	256.4547	
500.0	5.0	309.6400	291.1333	312.4450	254.6848	231.0226	199.4073	235.5780	315.3203	315.9094	307.6801	
50.0	6.0	74.6700	74.8050	74.8050	111.3846	128.4755	198.8653	120.9332	99.8487	75.7638	77.1657	
100.0	6.0	104.7000	104.1800	104.1800	122.9321	128.4755	198.7729	120.9332	116.9694	102.5081	102.7784	
200.0	6.0	154.3600	171.1900	162.6600	155.5074	172.0879	199.2423	179.7734	159.5577	155.9967	154.0038	
300.0	6.0	188.2500	171.1900	188.2500	194.6842	187.1361	199.4027	194.9265	210.8653	209.4852	205.2292	
400.0	6.0	265.3300	291.1333	248.5100	231.1016	231.0226	199.4073	235.5780	264.6726	262.9738	256.4547	
500.0	6.0	307.3000	291.1333	312.4450	256.2973	231.0226	199.4073	235.5780	313.4858	316.4624	307.6801	
50.0	7.0	76.1100	74.8050	74.8050	111.9012	128.4755	199.4048	120.9332	98.5510	76.3168	77.1657	
100.0	7.0	102.0100	104.1800	104.1800	123.2987	128.4755	199.4043	120.9332	115.4358	103.0611	102.7784	
200.0	7.0	155.0600	171.1900	162.6600	155.4985	172.0879	199.4065	179.7734	157.5807	156.5497	154.0038	
300.0	7.0	183.8200	171.1900	188.2500	194.2797	187.1361	199.4073	194.9265	208.6275	210.0382	205.2292	
400.0	7.0	280.6700	291.1333	248.5100	230.3823	231.0226	199.4073	235.5780	262.4851	263.5268	256.4547	
500.0	7.0	296.9800	291.1333	312.4450	255.4133	231.0226	199.4073	235.5780	311.6332	317.0154	307.6801	
50.0	8.0	79.1400	74.8050	74.8050	114.3042	128.4755	199.4073	120.9332	97.2726	76.8698	77.1657	
100.0	8.0	106.0200	104.1800	104.1800	125.2175	128.4755	199.4073	120.9332	113.9220	103.6141	102.7784	
200.0	8.0	152.3900	171.1900	162.6600	156.0899	172.0879	199.4073	179.7734	155.6197	157.1026	154.0038	
300.0	8.0	188.4200	171.1900	188.2500	193.3204	187.1361	199.4073	194.9265	206.3948	210.5912	205.2292	
400.0	8.0	256.3300	291.1333	248.5100	228.0260	231.0226	199.4073	235.5780	260.2891	264.0798	256.4547	
500.0	8.0	306.6100	291.1333	312.4450	252.1357	231.0226	199.4073	235.5780	309.7629	317.5683	307.6801	
50.0	9.0	76.6900	74.8050	74.8050	118.3947	128.4755	199.4073	120.9332	96.0133	77.4228	77.1657	
100.0	9.0	140.8000	104.1800	104.1800	128.5325	128.4755	199.4073	120.9332	112.4280	104.1671	102.7784	
200.0	9.0	191.6800	171.1900	162.6600	157.2418	172.0879	199.4073	179.7734	153.6751	157.6556	154.0038	
300.0	9.0	233.6400	171.1900	188.2500	191.9023	187.1361	199.4073	194.9265	204.1678	211.1442	205.2292	
400.0	9.0	252.8800	291.1333	248.5100	224.2502	231.0226	199.4073	235.5780	258.0850	264.6327	256.4547	
500.0	9.0	309.4700	291.1333	312.4450	246.7611	231.0226	199.4073	235.5780	307.8750	318.1213	307.6801	
50.0	10.0	99.2900	74.8050	74.8050	123.8390	128.4755	199.4073	120.9332	94.7730	77.9758	77.1657	
100.0	10.0	119.4600	104.1800	104.1800	132.9734	128.4755	199.4073	120.9332	110.9538	104.7200	102.7784	
200.0	10.0	187.0900	171.1900	162.6600	158.8626	172.0879	199.4073	179.7734	151.7471	158.2086	154.0038	
300.0	10.0	242.3200	171.1900	188.2500	190.1458	187.1361	199.4073	194.9265	201.9470	211.6972	205.2292	
400.0	10.0	273.7800	291.1333	248.5100	219.3705	231.0226	199.4073	235.5780	255.8735	265.1857	256.4547	
500.0	10.0	276.9000	291.1333	312.4450	239.7378	231.0226	199.4073	235.5780	305.9699	318.6743	307.6801	


